Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily Return,30-Day Volatility,YoY Change
2019-12-24 00:00:00-05:00,69.00049581934775,69.04897290437611,68.57150246344902,68.89869689941406,48478800,0.0,0.0,,,
2019-12-26 00:00:00-05:00,69.0320126431219,70.28264612701129,69.00292934758863,70.26567840576172,93121200,0.0,0.0,0.019840455159018777,,
2019-12-27 00:00:00-05:00,70.55892938705581,71.24968709103864,69.83181757161367,70.23899841308594,146266000,0.0,0.0,-0.0003797016307408585,,
2019-12-30 00:00:00-05:00,70.15658572923759,70.93944536220306,69.12893684113479,70.65586853027344,144114400,0.0,0.0,0.005935023656456817,,
2019-12-31 00:00:00-05:00,70.27051535514738,71.17940522249022,70.17114250873013,71.17213439941406,100805600,0.0,0.0,0.007306765593284359,,
2020-01-02 00:00:00-05:00,71.79988841807065,72.85662843705877,71.54540216077686,72.79603576660156,135480400,0.0,0.0,0.022816533196464928,,
2020-01-03 00:00:00-05:00,72.02041625768727,72.8517455706424,71.86287686024052,72.0882797241211,146322800,0.0,0.0,-0.009722453084528904,,
2020-01-06 00:00:00-05:00,71.20606963688756,72.70149228565275,70.95400211001883,72.66271209716797,118387200,0.0,0.0,0.007968457220025371,,
2020-01-07 00:00:00-05:00,72.67241690140098,72.92932920607493,72.10042570127877,72.32098388671875,108872000,0.0,0.0,-0.004702937732247614,,
2020-01-08 00:00:00-05:00,72.02285002693742,73.78730773933461,72.02285002693742,73.48434448242188,132079200,0.0,0.0,0.016086072577847776,,
2020-01-09 00:00:00-05:00,74.46595763529108,75.23912061605091,74.21389747975358,75.04522705078125,170108400,0.0,0.0,0.021241021871437615,,
2020-01-10 00:00:00-05:00,75.2803190714048,75.78202805010778,74.71074661224186,75.21487426757812,140644800,0.0,0.0,0.002260599687200271,,
2020-01-13 00:00:00-05:00,75.5323939772133,76.84846485002203,75.41362732738085,76.8218002319336,121532000,0.0,0.0,0.021364470525321977,,
2020-01-14 00:00:00-05:00,76.758789108947,76.96965039455488,75.66085034178165,75.78445434570312,161954400,0.0,0.0,-0.013503274892004646,,
2020-01-15 00:00:00-05:00,75.58328240864935,76.46793372841316,75.0258255219773,75.45967102050781,121923600,0.0,0.0,-0.004285619366127036,,
2020-01-16 00:00:00-05:00,76.00500479670342,76.51641067102332,75.64144885255202,76.40491485595703,108829200,0.0,0.0,0.01252647702628229,,
2020-01-17 00:00:00-05:00,76.65455638252,77.253212133664,76.34674834560415,77.25079345703125,137816400,0.0,0.0,0.011070997234522428,,
2020-01-21 00:00:00-05:00,76.87752535201018,77.3210602617499,76.58910376824649,76.72725677490234,110843200,0.0,0.0,-0.0067771042690987215,,
2020-01-22 00:00:00-05:00,77.21441667860984,77.5561600864613,76.90660870255334,77.00113677978516,101832400,0.0,0.0,0.003569526872129636,,
2020-01-23 00:00:00-05:00,77.05446622858818,77.45195017577431,76.5042802197772,77.3719711303711,104472000,0.0,0.0,0.004815959427280747,,
2020-01-24 00:00:00-05:00,77.61919405852058,78.36569234251847,76.95751957755354,77.14899444580078,146537600,0.0,0.0,-0.0028818793332097137,,
2020-01-27 00:00:00-05:00,75.14943709018755,75.56388879724423,73.89395899955545,74.88040924072266,161940000,0.0,0.0,-0.029405246580003874,,
2020-01-28 00:00:00-05:00,75.76506778148637,77.17081461349557,75.66569492593983,76.99873352050781,162234000,0.0,0.0,0.028289432459900787,,
2020-01-29 00:00:00-05:00,78.63716113897716,79.46121987792021,77.89308146084672,78.6104965209961,216229200,0.0,0.0,0.02093233130982619,,
2020-01-30 00:00:00-05:00,77.68947591112114,78.54988860150131,77.25563045650009,78.49656677246094,126743200,0.0,0.0,-0.001449294350974184,,
2020-01-31 00:00:00-05:00,77.78402044785376,78.20816913725739,74.72045890317577,75.01615142822266,199588400,0.0,0.0,-0.04433844035914347,,
2020-02-03 00:00:00-05:00,73.75339487793374,75.98078201621831,73.24926711862054,74.81013488769531,173788400,0.0,0.0,-0.002746295785707731,,
2020-02-04 00:00:00-05:00,76.42190524343457,77.47137452225437,76.0147242403826,77.27989959716797,136616400,0.0,0.0,0.03301377163910013,,
2020-02-05 00:00:00-05:00,78.411751069267,78.71229570893303,77.30412280540882,77.91004943847656,118826800,0.0,0.0,0.008154123447278394,,
2020-02-06 00:00:00-05:00,78.18148791656665,78.82376854121485,77.62161241012203,78.82134246826172,105425600,0.0,0.0,0.011696732788043951,,
2020-02-07 00:00:00-05:00,78.3184696356632,78.56870361941783,77.25679722483902,77.7499771118164,117684000,0.1925,0.0,-0.01359232566835189,0.01656742517510752,
2020-02-10 00:00:00-05:00,76.32872251651483,78.11923217773438,76.24855365122801,78.11923217773438,109348800,0.0,0.0,0.004749262696076784,0.01630220298822476,
2020-02-11 00:00:00-05:00,78.61729312283484,78.6901739257034,77.42928413723492,77.64793395996094,94323200,0.0,0.0,-0.006033062597199601,0.016383069521980008,
2020-02-12 00:00:00-05:00,78.09979998299478,79.49673857196723,78.09979998299478,79.49188232421875,113730400,0.0,0.0,0.02374755219126179,0.016792816929035153,
2020-02-13 00:00:00-05:00,78.76062560698541,79.2538054479268,78.55655195702208,78.92582702636719,94747600,0.0,0.0,-0.007120919536699688,0.016903226725233953,
2020-02-14 00:00:00-05:00,78.89423512616942,79.19549303005526,78.43507131238371,78.94525909423828,80113600,0.0,0.0,0.0002462067057542594,0.016515886573203412,
2020-02-18 00:00:00-05:00,76.61539135590418,77.68192708006474,76.43318198824178,77.49971771240234,152531200,0.0,0.0,-0.01831068006389558,0.01681288854580632,
2020-02-19 00:00:00-05:00,77.74265350732433,78.85291755711393,77.74265350732433,78.62211608886719,93984000,0.0,0.0,0.014482612448086796,0.016926921214883546,
2020-02-20 00:00:00-05:00,78.38162741760964,78.87237540713653,77.3078034073495,77.81555938720703,100566000,0.0,0.0,-0.01025864911532648,0.017041502335644197,
2020-02-21 00:00:00-05:00,77.40740945099631,77.85200453086176,75.43469023560293,76.05419921875,129554000,0.0,0.0,-0.02263506401968496,0.01744523629587927,
2020-02-24 00:00:00-05:00,72.21808333283613,73.8992644068107,70.26722851902157,72.44158935546875,222195200,0.0,0.0,-0.04750046546266984,0.0191646852754511,
2020-02-25 00:00:00-05:00,73.11455813124694,73.49840932047712,69.51409877566901,69.98783874511719,230673600,0.0,0.0,-0.03387212555913266,0.020067036426669804,
2020-02-26 00:00:00-05:00,69.6112788668062,72.3687159357965,69.6039907873723,71.09810638427734,198054800,0.0,0.0,0.01586372231329425,0.01986842848510159,
2020-02-27 00:00:00-05:00,68.29207996071155,69.48251314363536,66.31449718169252,66.45054626464844,320605600,0.0,0.0,-0.06536826866399736,0.022895175842175573,
2020-02-28 00:00:00-05:00,62.50025221622377,67.6385554997623,62.2840268493113,66.41167449951172,426510000,0.0,0.0,-0.0005849728455490366,0.02290418611709007,
2020-03-02 00:00:00-05:00,68.57874837854894,73.23359135629464,67.47091599038848,72.59464263916016,341397200,0.0,0.0,0.09310062103153105,0.02885811017956041,
2020-03-03 00:00:00-05:00,73.77535933674136,73.85552819395053,69.43391136932343,70.2890853881836,319475600,0.0,0.0,-0.031759330539535724,0.02928109971920593,
2020-03-04 00:00:00-05:00,72.01886735003644,73.70976836620322,71.21471719102264,73.54942321777344,219178400,0.0,0.0,0.04638469559795899,0.030606527208735593,
2020-03-05 00:00:00-05:00,71.79536491446169,72.77443652965138,70.79686089078,71.16371154785156,187572800,0.0,0.0,-0.032436850835090736,0.031124367220361306,
2020-03-06 00:00:00-05:00,68.51071171959263,70.65349533361479,68.32364613327019,70.21862030029297,226176800,0.0,0.0,-0.013280522150999619,0.031159836218024314,
2020-03-09 00:00:00-04:00,64.07695437979449,67.56079624197245,63.8947450308472,64.66488647460938,286744800,0.0,0.0,-0.07909203857798419,0.0341343775848893,
