Date,Close
,AAPL
2020-01-02,72.7960205078125
2020-01-03,72.08828735351562
2020-01-06,72.66271209716797
2020-01-07,72.32097625732422
2020-01-08,73.48434448242188
2020-01-09,75.04521942138672
2020-01-10,75.2148666381836
2020-01-13,76.82178497314453
2020-01-14,75.78443908691406
2020-01-15,75.45967864990234
2020-01-16,76.4049072265625
2020-01-17,77.25078582763672
2020-01-21,76.7272720336914
2020-01-22,77.00115966796875
2020-01-23,77.37200164794922
2020-01-24,77.14900970458984
2020-01-27,74.88040924072266
2020-01-28,76.99873352050781
2020-01-29,78.6104965209961
2020-01-30,78.49657440185547
2020-01-31,75.01612091064453
2020-02-03,74.81012725830078
2020-02-04,77.27987670898438
2020-02-05,77.91004180908203
2020-02-06,78.82135009765625
2020-02-07,77.74994659423828
2020-02-10,78.11923217773438
2020-02-11,77.6479263305664
2020-02-12,79.49188995361328
2020-02-13,78.92582702636719
2020-02-14,78.94526672363281
2020-02-18,77.49971771240234
2020-02-19,78.62213897705078
2020-02-20,77.81553649902344
2020-02-21,76.05419921875
2020-02-24,72.44158935546875
2020-02-25,69.98783111572266
2020-02-26,71.09811401367188
2020-02-27,66.4505386352539
2020-02-28,66.41167449951172
2020-03-02,72.59464263916016
2020-03-03,70.28910064697266
2020-03-04,73.54943084716797
2020-03-05,71.1637191772461
2020-03-06,70.21863555908203
2020-03-09,64.66490936279297
2020-03-10,69.32215881347656
2020-03-11,66.9145736694336
2020-03-12,60.30644989013672
2020-03-13,67.53164672851562
2020-03-16,58.843910217285156
2020-03-17,61.431278228759766
2020-03-18,59.92744445800781
2020-03-19,59.46828079223633
2020-03-20,55.692901611328125
2020-03-23,54.50975799560547
2020-03-24,59.97847366333008
2020-03-25,59.64806365966797
2020-03-26,62.786930084228516
2020-03-27,60.18740463256836
2020-03-30,61.905029296875
2020-03-31,61.77869415283203
2020-04-01,58.52809143066406
2020-04-02,59.50472640991211
2020-04-03,58.649559020996094
2020-04-06,63.76601028442383
2020-04-07,63.02743148803711
2020-04-08,64.64059448242188
2020-04-09,65.10704040527344
2020-04-13,66.38494110107422
2020-04-14,69.73758697509766
2020-04-15,69.1010971069336
2020-04-16,69.65013122558594
2020-04-17,68.705078125
2020-04-20,67.27899169921875
2020-04-21,65.1993637084961
2020-04-22,67.07734680175781
2020-04-23,66.81739044189453
2020-04-24,68.74639129638672
2020-04-27,68.79497528076172
2020-04-28,67.67985534667969
2020-04-29,69.9028091430664
2020-04-30,71.37750244140625
2020-05-01,70.22835540771484
2020-05-04,71.22200012207031
2020-05-05,72.29096984863281
2020-05-06,73.03680419921875
2020-05-07,73.7923812866211
2020-05-08,75.54875183105469
2020-05-11,76.73753356933594
2020-05-12,75.86055755615234
2020-05-13,74.9446029663086
2020-05-14,75.4050064086914
2020-05-15,74.959228515625
2020-05-18,76.72534942626953
2020-05-19,76.2820053100586
2020-05-20,77.76554870605469
2020-05-21,77.18575286865234
2020-05-22,77.6827163696289
2020-05-26,77.15653228759766
2020-05-27,77.49271392822266
2020-05-28,77.52681732177734
2020-05-29,77.4512939453125
2020-06-01,78.4037857055664
2020-06-02,78.76676177978516
2020-06-03,79.20037841796875
2020-06-04,78.51827239990234
2020-06-05,80.75454711914062
2020-06-08,81.23200988769531
2020-06-09,83.7971420288086
2020-06-10,85.95304107666016
2020-06-11,81.826416015625
2020-06-12,82.5328598022461
2020-06-15,83.55355834960938
2020-06-16,85.7679214477539
2020-06-17,85.6485595703125
2020-06-18,85.68266296386719
2020-06-19,85.1930160522461
2020-06-22,87.42198181152344
2020-06-23,89.2879867553711
2020-06-24,87.71186828613281
2020-06-25,88.87629699707031
2020-06-26,86.14551544189453
2020-06-29,88.13087463378906
2020-06-30,88.86656951904297
2020-07-01,88.69845581054688
2020-07-02,88.69845581054688
2020-07-06,91.07115173339844
2020-07-07,90.78858947753906
2020-07-08,92.903076171875
2020-07-09,93.30256652832031
2020-07-10,93.4657974243164
2020-07-13,93.03462219238281
2020-07-14,94.57418823242188
2020-07-15,95.22461700439453
2020-07-16,94.0528793334961
2020-07-17,93.86285400390625
2020-07-20,95.84092712402344
2020-07-21,94.51815795898438
2020-07-22,94.78368377685547
2020-07-23,90.4694595336914
2020-07-24,90.24535369873047
2020-07-27,92.38418579101562
2020-07-28,90.8665542602539
2020-07-29,92.60832214355469
2020-07-30,93.72888946533203
2020-07-31,103.5412368774414
2020-08-03,106.15021514892578
2020-08-04,106.85911560058594
2020-08-05,107.24642944335938
2020-08-06,110.98818969726562
2020-08-07,108.46478271484375
2020-08-10,110.04129028320312
2020-08-11,106.76868438720703
2020-08-12,110.31706237792969
2020-08-13,112.26942443847656
2020-08-14,112.16936492919922
2020-08-17,111.87650299072266
2020-08-18,112.80875396728516
2020-08-19,112.95030975341797
2020-08-20,115.45660400390625
2020-08-21,121.40635681152344
2020-08-24,122.8584213256836
2020-08-25,121.85052490234375
2020-08-26,123.50758361816406
2020-08-27,122.03113555908203
2020-08-28,121.83342742919922
2020-08-31,125.965087890625
2020-09-01,130.98263549804688
2020-09-02,128.26882934570312
2020-09-03,117.9995346069336
2020-09-04,118.0776138305664
2020-09-08,110.13159942626953
2020-09-09,114.52436065673828
2020-09-10,110.78563690185547
2020-09-11,109.33113098144531
2020-09-14,112.61107635498047
2020-09-15,112.78679656982422
2020-09-16,109.45803833007812
2020-09-17,107.71068572998047
2020-09-18,104.29408264160156
2020-09-21,107.45689392089844
2020-09-22,109.14566040039062
2020-09-23,104.56743621826172
2020-09-24,105.64119720458984
2020-09-25,109.60446166992188
2020-09-28,112.2206039428711
2020-09-29,111.37133026123047
2020-09-30,113.05033874511719
2020-10-01,114.0069808959961
2020-10-02,110.32682037353516
2020-10-05,113.72391510009766
2020-10-06,110.46349334716797
2020-10-07,112.3377456665039
2020-10-08,112.23037719726562
2020-10-09,114.18270874023438
2020-10-12,121.43565368652344
2020-10-13,118.21429443359375
2020-10-14,118.30213928222656
2020-10-15,117.83358764648438
2020-10-16,116.18385314941406
2020-10-19,113.21630096435547
2020-10-20,114.70983123779297
2020-10-21,114.0850830078125
2020-10-22,112.99177551269531
2020-10-23,112.29869842529297
2020-10-26,112.30845642089844
2020-10-27,113.821533203125
2020-10-28,108.5501937866211
2020-10-29,112.57202911376953
2020-10-30,106.2659683227539
2020-11-02,106.17808532714844
2020-11-03,107.80830383300781
2020-11-04,112.21084594726562
2020-11-05,116.19361114501953
2020-11-06,116.06161499023438
2020-11-09,113.74409484863281
2020-11-10,113.40186309814453
2020-11-11,116.84390258789062
2020-11-12,116.57008361816406
2020-11-13,116.61898040771484
2020-11-16,117.6359634399414
2020-11-17,116.74610137939453
2020-11-18,115.4162368774414
2020-11-19,116.01272583007812
2020-11-20,114.74150848388672
2020-11-23,111.32880401611328
2020-11-24,112.61956024169922
2020-11-25,113.46051788330078
2020-11-27,114.00810241699219
2020-11-30,116.41363525390625
2020-12-01,120.00236511230469
2020-12-02,120.35440063476562
2020-12-03,120.21749877929688
2020-12-04,119.54277801513672
2020-12-07,121.00955200195312
2020-12-08,121.62560272216797
2020-12-09,119.08317565917969
2020-12-10,120.51084899902344
2020-12-11,119.6992416381836
2020-12-14,119.08317565917969
2020-12-15,125.048095703125
2020-12-16,124.97966003417969
2020-12-17,125.8499526977539
2020-12-18,123.85511779785156
2020-12-21,125.39033508300781
2020-12-22,128.95953369140625
2020-12-23,128.05992126464844
2020-12-24,129.0475311279297
2020-12-28,133.66299438476562
2020-12-29,131.88328552246094
2020-12-30,130.75875854492188
2020-12-31,129.7515869140625
2021-01-04,126.54419708251953
2021-01-05,128.1087646484375
2021-01-06,123.79645538330078
2021-01-07,128.02078247070312
2021-01-08,129.12574768066406
2021-01-11,126.12373352050781
2021-01-12,125.9477310180664
2021-01-13,127.9914321899414
2021-01-14,126.05528259277344
2021-01-15,124.324462890625
2021-01-19,124.99919891357422
2021-01-20,129.10621643066406
2021-01-21,133.83900451660156
2021-01-22,135.99034118652344
2021-01-25,139.75503540039062
2021-01-26,139.98968505859375
2021-01-27,138.9140625
2021-01-28,134.0541229248047
2021-01-29,129.03775024414062
2021-02-01,131.16941833496094
2021-02-02,132.0006561279297
2021-02-03,130.97389221191406
2021-02-04,134.34747314453125
2021-02-05,133.93130493164062
2021-02-08,134.07818603515625
2021-02-09,133.19679260253906
2021-02-10,132.58963012695312
2021-02-11,132.33497619628906
2021-02-12,132.57003784179688
2021-02-16,130.4351043701172
2021-02-17,128.1337432861328
2021-02-18,127.027099609375
2021-02-19,127.18379211425781
2021-02-22,123.39383697509766
2021-02-23,123.25675201416016
2021-02-24,122.75729370117188
2021-02-25,118.48747253417969
2021-02-26,118.75189971923828
2021-03-01,125.14681243896484
2021-03-02,122.53205871582031
2021-03-03,119.53533935546875
2021-03-04,117.645263671875
2021-03-05,118.90857696533203
2021-03-08,113.95323181152344
2021-03-09,118.58538055419922
2021-03-10,117.49836730957031
2021-03-11,119.43740844726562
2021-03-12,118.52664947509766
2021-03-15,121.42542266845703
2021-03-16,122.97274780273438
2021-03-17,122.17948150634766
2021-03-18,118.0369644165039
2021-03-19,117.50814819335938
2021-03-22,120.83781433105469
2021-03-23,120.00538635253906
2021-03-24,117.60608673095703
2021-03-25,118.09573364257812
2021-03-26,118.70291900634766
2021-03-29,118.87918853759766
2021-03-30,117.42002868652344
2021-03-31,119.62348175048828
2021-04-01,120.45590209960938
2021-04-05,123.29591369628906
2021-04-06,123.59950256347656
2021-04-07,125.2545394897461
2021-04-08,127.6636734008789
2021-04-09,130.2490692138672
2021-04-12,128.5254669189453
2021-04-13,131.64944458007812
2021-04-14,129.29913330078125
2021-04-15,131.7180633544922
2021-04-16,131.3850860595703
2021-04-19,132.0509796142578
2021-04-20,130.35675048828125
2021-04-21,130.7386932373047
2021-04-22,129.21099853515625
2021-04-23,131.54177856445312
2021-04-26,131.9334716796875
2021-04-27,131.61033630371094
2021-04-28,130.81707763671875
2021-04-29,130.71913146972656
2021-04-30,128.7409210205078
2021-05-03,129.798583984375
2021-05-04,125.20558166503906
2021-05-05,125.45040130615234
2021-05-06,127.0564956665039
2021-05-07,127.73338317871094
2021-05-10,124.43726348876953
2021-05-11,123.51515197753906
2021-05-12,120.43486785888672
2021-05-13,122.59302520751953
2021-05-14,125.02584838867188
2021-05-17,123.86830139160156
2021-05-18,122.47530364990234
2021-05-19,122.318359375
2021-05-20,124.88850402832031
2021-05-21,123.04427337646484
2021-05-24,124.6825180053711
2021-05-25,124.48632049560547
2021-05-26,124.43726348876953
2021-05-27,122.89713287353516
2021-05-28,122.23987579345703
2021-06-01,121.9161605834961
2021-06-02,122.68132019042969
2021-06-03,121.19021606445312
2021-06-04,123.49552917480469
2021-06-07,123.50534057617188
2021-06-08,124.329345703125
2021-06-09,124.71195220947266
2021-06-10,123.71134185791016
2021-06-11,124.9277572631836
2021-06-14,127.99821472167969
2021-06-15,127.1741943359375
2021-06-16,127.67450714111328
2021-06-17,129.28329467773438
2021-06-18,127.97860717773438
2021-06-21,129.78358459472656
2021-06-22,131.43167114257812
2021-06-23,131.156982421875
2021-06-24,130.8724822998047
2021-06-25,130.5782012939453
2021-06-28,132.21644592285156
2021-06-29,133.7369384765625
